================================================================================
HEAD TOOL COUNTER — DEBUG PIPELINE V2
================================================================================
Video: D:\杭州供电段\头戴设备作业工具识别\01公司拍摄数据20260717\测试用\test_cut.mp4
Output: D:\PycharmProjects\head_tool_counter\debug_output\20260730_005359_06ea5fd
Git SHA: 06ea5fd
Max frames: ALL

Config loaded:
  matcher: min_good=20, min_inliers=30, min_ratio=0.3, max_reproj=3.0
  associator: max_pos=250.0, min_obs_confirm=5
  tracker: max_missed=5, min_iou=0.2, inactive_min_iou=0.3
  pipeline: l2_interval=3, min_kf_interval=5

Initializing modules...
  All modules initialized in 1.59s


================================================================================
STARTING FRAME-BY-FRAME PROCESSING
================================================================================

F0000 | QUALITY REJECT | sharpness=15.6
F0001 | QUALITY REJECT | sharpness=14.9
F0002 | QUALITY REJECT | sharpness=14.9
F0003 | QUALITY REJECT | sharpness=14.8
F0004 | QUALITY REJECT | sharpness=14.8
F0005 | QUALITY REJECT | sharpness=15.0
F0006 | QUALITY REJECT | sharpness=14.4
F0007 | QUALITY REJECT | sharpness=14.5
F0008 | QUALITY REJECT | sharpness=14.7
F0009 | QUALITY REJECT | sharpness=15.0
F0010 | QUALITY REJECT | sharpness=15.7
F0011 | QUALITY REJECT | sharpness=15.3
F0012 | QUALITY REJECT | sharpness=16.0
F0013 | QUALITY REJECT | sharpness=16.5
F0014 | QUALITY REJECT | sharpness=16.3
F0015 | QUALITY REJECT | sharpness=17.4
F0016 | QUALITY REJECT | sharpness=17.2
F0017 | QUALITY REJECT | sharpness=18.1
F0018 | QUALITY REJECT | sharpness=17.7
F0019 | QUALITY REJECT | sharpness=18.4
F0020 | QUALITY REJECT | sharpness=19.3
F0021 | QUALITY REJECT | sharpness=19.0
F0022 | QUALITY REJECT | sharpness=19.4
  (quality reject interval: 0..22, length=23)
  [KEYFRAME #0] L1=6 L3=7 fused=6 tracked=6 objects_affected=6
F0023 | ACCEPTED (first_frame) | sharp=20 L2=7 MAX_INTERVAL NEW_DET FIRST KF | 0.684s
F0191 | RECOVERY | sharp=23 L2=27 MAX_INTERVAL NEW_DET RECOVERY: match_failed: insufficient good matches: 9 < 20 LOST | match_err=match_failed: insufficient good matches: 9 < 20
F0192 | RECOVERY | sharp=23 MAX_INTERVAL RECOVERY: match_failed: insufficient good matches: 16 < 20 LOST | match_err=match_failed: insufficient good matches: 16 < 20
F0193 | RECOVERY | sharp=22 MAX_INTERVAL RECOVERY: match_failed: insufficient good matches: 13 < 20 LOST | match_err=match_failed: insufficient good matches: 13 < 20
F0194 | RECOVERY | sharp=22 L2=23 MAX_INTERVAL NEW_DET RECOVERY: match_failed: insufficient good matches: 12 < 20 LOST | match_err=match_failed: insufficient good matches: 12 < 20
F0195 | RECOVERY | sharp=21 MAX_INTERVAL RECOVERY: match_failed: insufficient good matches: 15 < 20 LOST | match_err=match_failed: insufficient good matches: 15 < 20
F0196 | RECOVERY | sharp=21 MAX_INTERVAL RECOVERY: match_failed: insufficient good matches: 12 < 20 LOST | match_err=match_failed: insufficient good matches: 12 < 20
F0197 | RECOVERY | sharp=21 L2=20 MAX_INTERVAL NEW_DET RECOVERY: match_failed: insufficient good matches: 8 < 20 LOST | match_err=match_failed: insufficient good matches: 8 < 20
F0198 | RECOVERY | sharp=21 MAX_INTERVAL RECOVERY: match_failed: insufficient good matches: 9 < 20 LOST | match_err=match_failed: insufficient good matches: 9 < 20
F0199 | QUALITY REJECT | sharpness=19.9
F0200 | QUALITY REJECT | sharpness=19.5
F0201 | QUALITY REJECT | sharpness=18.6
F0202 | QUALITY REJECT | sharpness=17.9
F0203 | QUALITY REJECT | sharpness=17.9
F0204 | QUALITY REJECT | sharpness=18.3
F0205 | QUALITY REJECT | sharpness=17.8
F0206 | QUALITY REJECT | sharpness=16.9
F0207 | QUALITY REJECT | sharpness=16.5
F0208 | QUALITY REJECT | sharpness=16.6
F0209 | QUALITY REJECT | sharpness=17.6
  (quality reject interval: 199..209, length=11)
F0210 | RECOVERY | sharp=24 MAX_INTERVAL RECOVERY: match_failed: insufficient good matches: 8 < 20 LOST | match_err=match_failed: insufficient good matches: 8 < 20
F0211 | RECOVERY | sharp=21 MAX_INTERVAL RECOVERY: match_failed: insufficient good matches: 8 < 20 LOST | match_err=match_failed: insufficient good matches: 8 < 20
F0212 | QUALITY REJECT | sharpness=19.4
F0213 | QUALITY REJECT | sharpness=18.2
F0214 | QUALITY REJECT | sharpness=18.2
F0215 | QUALITY REJECT | sharpness=17.1
F0216 | QUALITY REJECT | sharpness=16.1
F0217 | QUALITY REJECT | sharpness=16.6
F0218 | QUALITY REJECT | sharpness=17.1
F0219 | QUALITY REJECT | sharpness=17.9
F0220 | QUALITY REJECT | sharpness=16.5
F0221 | QUALITY REJECT | sharpness=16.1
F0222 | QUALITY REJECT | sharpness=15.6
F0223 | QUALITY REJECT | sharpness=16.3
F0224 | QUALITY REJECT | sharpness=16.8
F0225 | QUALITY REJECT | sharpness=16.5
F0226 | QUALITY REJECT | sharpness=15.7
F0227 | QUALITY REJECT | sharpness=15.4
F0228 | QUALITY REJECT | sharpness=15.0
F0229 | QUALITY REJECT | sharpness=15.2
F0230 | QUALITY REJECT | sharpness=15.2
F0231 | QUALITY REJECT | sharpness=15.1
F0232 | QUALITY REJECT | sharpness=14.8
F0233 | QUALITY REJECT | sharpness=15.6
F0234 | QUALITY REJECT | sharpness=15.6
F0235 | QUALITY REJECT | sharpness=15.9
F0236 | QUALITY REJECT | sharpness=15.5
F0237 | QUALITY REJECT | sharpness=15.5
F0238 | QUALITY REJECT | sharpness=15.9
F0239 | QUALITY REJECT | sharpness=15.9
F0240 | QUALITY REJECT | sharpness=19.6
F0241 | QUALITY REJECT | sharpness=17.0
F0242 | QUALITY REJECT | sharpness=15.5
F0243 | QUALITY REJECT | sharpness=14.6
F0244 | QUALITY REJECT | sharpness=14.3
F0245 | QUALITY REJECT | sharpness=13.4
F0246 | QUALITY REJECT | sharpness=12.1
F0247 | QUALITY REJECT | sharpness=11.0
F0248 | QUALITY REJECT | sharpness=10.3
F0249 | QUALITY REJECT | sharpness=9.5
F0250 | QUALITY REJECT | sharpness=9.0
F0251 | QUALITY REJECT | sharpness=8.6
F0252 | QUALITY REJECT | sharpness=8.2
F0253 | QUALITY REJECT | sharpness=7.6
F0254 | QUALITY REJECT | sharpness=7.0
F0255 | QUALITY REJECT | sharpness=6.3
F0256 | QUALITY REJECT | sharpness=6.3
F0257 | QUALITY REJECT | sharpness=5.8
F0258 | QUALITY REJECT | sharpness=5.6
F0259 | QUALITY REJECT | sharpness=5.8
F0260 | QUALITY REJECT | sharpness=6.1
F0261 | QUALITY REJECT | sharpness=6.4
F0262 | QUALITY REJECT | sharpness=6.5
F0263 | QUALITY REJECT | sharpness=9.6
F0264 | QUALITY REJECT | sharpness=9.7
F0265 | QUALITY REJECT | sharpness=9.9
F0266 | QUALITY REJECT | sharpness=9.3
F0267 | QUALITY REJECT | sharpness=9.6
F0268 | QUALITY REJECT | sharpness=9.1
F0269 | QUALITY REJECT | sharpness=10.1
F0270 | QUALITY REJECT | sharpness=17.6

================================================================================
POST-PROCESSING
================================================================================
End-window keyframes: 2 candidates

Running final_review()...
  final_review done, merged=0 blocked_cooccur=0 blocked_overlap=0

================================================================================
SUMMARY
================================================================================
Run ID: 20260730_005359_06ea5fd
Pipeline time: 104.2s
Frames processed: 271
  L2 run frames: 1
  L2 empty frames: 0
  Keyframe accepted: 1
  Keyframe skipped (cooldown): 19
  Max consecutive keyframes: 1
Graph nodes: 1
  Invalid homography nodes: 0

Recovery:
  Attempts: 155
  Success: 0
  Failed: 155

Object statistics:
  Provisional objects: 6
  CONFIRMED: 0
  TENTATIVE: 6
  UNCERTAIN: 0
  REJECTED: 0
  Reportable (R1=True): 6

Rejected reasons:
  unexplained: 0

Merges:
  Total merges: 0
  Blocked by co-occurrence: 0
  Blocked by frame overlap: 0

Invariants:
  track_binding_conflicts: 0
  same_frame_duplicate_observations: 0
  unexplained_rejected_objects: 0
  invalid_homography_nodes: 0
  report_count_inconsistency: 1

FPS:
  Core algorithm: 7.5 FPS
  Total (inc I/O): 2.6 FPS
  Quality: 1837ms
  L2 inference: 1300ms
  Feature match: 0ms
  L1 inference: 39ms
  L3 inference: 12ms
  Fusion: 0ms
  Tracker update: 0ms
  Projection: 0ms
  Association: 0ms
  Debug image I/O: 22ms
  Final review: 0ms
  Report: 1ms

Class distribution (reportable):
  electrical_tape: 2
  headlamp: 1
  insulating_glove: 2
  telescopic_voltage_detector: 1

Object details:
  [✓] P-0001 → GO-0001 class=electrical_tape status=tentative obs=1 kfs=1 tracks=1 centroid=(1007, 257) votes={} flags=[]
  [✓] P-0002 → GO-0002 class=electrical_tape status=tentative obs=1 kfs=1 tracks=1 centroid=(1018, 349) votes={} flags=[]
  [✓] P-0003 → GO-0003 class=telescopic_voltage_detector status=tentative obs=1 kfs=1 tracks=1 centroid=(1138, 299) votes={} flags=[]
  [✓] P-0004 → GO-0004 class=headlamp status=tentative obs=1 kfs=1 tracks=1 centroid=(1207, 523) votes={} flags=[]
  [✓] P-0005 → GO-0005 class=insulating_glove status=tentative obs=1 kfs=1 tracks=1 centroid=(1243, 254) votes={} flags=[]
  [✓] P-0006 → GO-0006 class=insulating_glove status=tentative obs=1 kfs=1 tracks=1 centroid=(1239, 204) votes={} flags=[]

Violations:

Output files:
  D:\PycharmProjects\head_tool_counter\debug_output\20260730_005359_06ea5fd\reports\report.json
  D:\PycharmProjects\head_tool_counter\debug_output\20260730_005359_06ea5fd\reports\report.csv
  D:\PycharmProjects\head_tool_counter\debug_output\20260730_005359_06ea5fd\events.jsonl
  D:\PycharmProjects\head_tool_counter\debug_output\20260730_005359_06ea5fd\keyframe_stats.csv
  D:\PycharmProjects\head_tool_counter\debug_output\20260730_005359_06ea5fd\association_events.csv
  D:\PycharmProjects\head_tool_counter\debug_output\20260730_005359_06ea5fd\object_lifecycle.json
  D:\PycharmProjects\head_tool_counter\debug_output\20260730_005359_06ea5fd\effective_config.yaml
  D:\PycharmProjects\head_tool_counter\debug_output\20260730_005359_06ea5fd\log.txt

================================================================================
DONE
================================================================================
